Name,Organization,Project 
Aman V. Singh,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Anastasiia Sedova,DeepPavlov,DeepPavlov is an open-source stack for building multiskill AI assistants.
geolas,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Farjad Ilyas,AnkiDroid,"Study all sorts of things wherever and whenever you want. Make good use of idle times on bus trips, in supermarket queues or any other waiting situation!"
Arpit Bhalla,React Native Elements,React Native Elements is a Cross Platform React Native UI Toolkit
Xuanda Yang,The Julia Language,A fresh approach to Technical Computing
Alexis Newton,SageMath,"SageMath is a free open-source mathematics software system licensed under the GPL.
It’s mission is “creating a viable free alternative to Magma, Maple, Mathematica and Matlab”."
Zeeshan Equbal,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Dhruv Vats,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
NIKITA MAHOVIYA,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Rahul Saini,Joomla!,Joomla is one of the world's most popular software packages used to build websites and online apps. Joomla is supported by a large ecosystem powering about 2% of known businesses.
Duong Dac,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Rishi R,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Prateek Pardeshi,Pidgin Instant Messenger,Pidgin allows you to connect to multiple chat networks at the same time and presents them to the user in a single unified user interface.
Xingyu Liu,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Rahul Babu Shrestha,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Rikito Taniguchi,Scala Center,"independent, not-for-profit center guiding and supporting the Scala community"
Yulia Kuzovkova,The Libreswan Project,"VPN encryption using IKEv2 and IPsec to encrypt networks, clouds and the Internet"
Somil Jain,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
José Manuel Díaz Urraco,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Nishit Patel,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Maija Utriainen,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Devyansh Chawla,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Jose Giraldo,Orcasound,Humans & machines listening together to save the whales.
Hashim,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Manan Sharma-1,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Jean Staquet,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Huu Long Nguyen,The Julia Language,A fresh approach to Technical Computing
Nirmal Praveen Suthar,SPDX,"SPDX is an open standard for communicating software bill of material information, including provenance, license, security, and other related information."
Hrithik Kumar Verma,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Hari Krishna,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
CastilloDel,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Jayaraj,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Trung Kien Dang,Scala Center,"independent, not-for-profit center guiding and supporting the Scala community"
Abhishek Zade,CircuitVerse.org,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to interactively create, share and learn digital circuits."
Adarsh Kumar Singh,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Chukwuemeka Okechukwu,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Hugo Flores Garcia,Audacity,"Audacity is the most downloaded audio editing app for Windows, Mac and Linux that allows users to record, edit, analyse and process audio."
